ATC_C,ATC_H,ATC_N,ATC_O,ATC_S
26.4,13.2,53.47,6.78,0.16
26.71,13.46,51.89,7.78,0.17
26.62,13.01,53.13,7.02,0.21
26.65,13.22,52.42,7.47,0.24
26.28,13.49,52.05,7.88,0.3
26.53,13.4,52.46,7.4,0.21
26.62,14.64,50.83,7.75,0.16
26.15,13.56,52.57,7.42,0.31
27.06,13.35,52.56,6.93,0.09
25.51,13.8,53.09,7.36,0.24
27.24,12.94,52.73,6.99,0.11
26.6,12.91,53.11,7.26,0.12
26.89,12.76,52.77,7.24,0.34
26.54,13.01,52.87,7.48,0.1
26.02,13.48,53.1,7.0,0.4
26.22,13.42,52.79,7.27,0.29
26.78,13.02,53.14,6.93,0.13
25.76,13.38,53.53,7.13,0.2
26.64,13.78,52.03,7.24,0.32
26.75,13.4,52.66,6.92,0.27
25.13,13.88,53.26,7.7,0.03
26.95,12.73,52.78,7.46,0.09
27.03,13.56,52.0,7.24,0.17
26.48,13.6,52.69,7.06,0.16
26.62,13.6,52.6,6.99,0.19
26.43,13.62,52.54,7.21,0.2
26.82,13.13,52.52,7.34,0.19
26.59,12.64,53.25,7.46,0.06
26.34,12.93,53.2,7.32,0.2
26.51,12.83,52.77,7.64,0.25
26.33,12.86,53.27,7.39,0.16
26.63,12.99,53.27,6.88,0.23
26.51,13.45,52.65,7.13,0.27
26.39,13.49,52.56,7.32,0.24
25.87,13.12,53.35,7.5,0.15
26.17,13.76,52.6,7.35,0.11
27.11,13.51,52.49,6.7,0.2
26.4,13.22,52.83,7.31,0.24
26.73,13.6,52.69,6.9,0.07
25.86,13.16,53.25,7.58,0.14
26.19,13.69,52.87,7.1,0.16
26.52,12.75,53.11,7.33,0.28
26.98,12.91,52.45,7.43,0.23
26.17,13.13,52.96,7.6,0.14
25.83,13.79,53.34,6.9,0.13
26.9,13.62,52.15,7.27,0.06
26.86,12.97,53.13,6.92,0.13
25.8,14.16,52.44,7.55,0.04
26.55,13.44,52.66,7.04,0.32
26.77,13.26,52.55,7.14,0.28
27.44,11.28,54.62,6.41,0.26
26.13,13.39,52.98,7.21,0.29
26.54,13.06,52.33,7.91,0.16
27.05,13.33,52.39,6.98,0.25
26.68,13.81,52.49,6.98,0.03
26.55,13.15,52.6,7.56,0.13
26.05,13.75,52.45,7.53,0.22
26.96,13.07,52.55,7.17,0.25
25.92,13.29,53.6,7.0,0.2
26.58,14.19,51.81,7.23,0.19
25.7,13.52,53.31,7.4,0.07
26.92,13.33,52.61,6.93,0.21
26.65,13.14,52.85,7.08,0.28
26.39,13.33,52.33,7.6,0.34
27.17,13.14,52.33,7.3,0.06
26.26,13.4,53.14,6.92,0.27
26.12,13.2,53.23,7.21,0.24
25.77,15.06,52.07,6.92,0.17
26.52,13.59,52.3,7.46,0.13
26.41,13.01,53.09,7.26,0.23
27.53,12.69,52.77,6.73,0.28
27.22,12.78,52.84,7.0,0.16
26.17,13.15,53.44,6.94,0.3
26.26,13.27,52.92,7.36,0.19
26.94,12.82,52.97,7.0,0.27
26.68,13.21,52.58,7.37,0.16
26.23,13.29,53.01,7.27,0.2
26.69,13.29,52.71,7.16,0.16
27.14,13.4,52.25,7.06,0.16
26.84,13.38,52.2,7.4,0.19
26.89,13.13,52.32,7.39,0.27
26.78,12.86,52.96,7.25,0.15
26.77,12.96,53.14,6.98,0.15
27.33,12.92,52.41,7.0,0.33
26.32,13.63,52.29,7.42,0.34
26.48,13.19,52.75,7.35,0.23
27.23,13.63,51.79,7.14,0.21
26.95,13.24,52.39,7.13,0.28
26.73,13.09,52.76,7.24,0.17
26.09,13.3,53.47,6.75,0.39
27.63,13.25,51.75,7.26,0.11
26.88,13.51,52.07,7.41,0.13
26.84,12.77,53.31,7.0,0.08
26.49,13.33,52.5,7.58,0.11
26.61,13.44,52.61,7.23,0.12
26.52,13.53,52.34,7.46,0.15
26.8,13.28,52.42,7.31,0.2
26.4,13.37,52.63,7.27,0.33
26.32,12.34,53.17,8.13,0.04
26.79,13.25,52.92,6.79,0.24
27.3,12.98,52.51,6.99,0.23
26.48,13.19,53.6,6.52,0.21
26.21,13.1,53.48,6.95,0.27
26.95,13.01,52.28,7.47,0.29
26.85,13.63,52.43,7.02,0.07
26.22,13.52,52.57,7.56,0.13
27.25,12.92,52.56,7.05,0.23
27.57,12.65,52.94,6.71,0.13
26.21,13.44,52.49,7.71,0.15
26.17,13.4,52.47,7.81,0.15
26.16,13.19,53.11,7.16,0.38
26.5,13.47,52.57,7.17,0.29
26.93,12.66,53.43,6.81,0.16
26.44,13.65,52.26,7.4,0.24
26.81,13.4,52.53,7.04,0.22
26.67,13.34,52.28,7.46,0.26
26.59,12.94,52.81,7.41,0.26
27.51,11.85,53.19,7.31,0.14
26.19,13.54,52.83,7.24,0.21
26.58,13.17,52.52,7.52,0.21
25.81,13.56,53.1,7.31,0.22
26.15,13.2,53.03,7.41,0.22
25.35,12.21,53.96,8.27,0.21
26.23,13.04,53.29,7.18,0.26
26.63,13.28,52.38,7.54,0.18
26.12,13.81,52.96,7.03,0.08
27.23,13.16,52.26,7.14,0.21
26.41,13.08,53.34,6.94,0.23
25.33,12.75,53.87,8.0,0.04
27.28,13.38,52.2,7.01,0.13
26.68,13.28,52.82,7.13,0.08
26.43,12.95,52.83,7.47,0.32
26.36,12.65,52.91,7.8,0.28
26.34,13.26,53.06,7.13,0.2
26.08,13.17,53.1,7.42,0.23
26.81,13.24,52.76,6.91,0.28
25.86,13.55,53.03,7.43,0.14
27.04,13.18,52.5,7.12,0.17
26.7,12.8,52.82,7.56,0.11
26.52,13.55,52.61,7.13,0.18
26.16,13.9,52.74,7.1,0.1
25.35,13.8,53.53,7.06,0.27
26.19,14.22,52.43,6.95,0.22
26.84,12.88,52.74,7.3,0.24
26.7,13.18,52.41,7.49,0.22
26.98,13.23,52.11,7.53,0.15
26.21,13.89,52.64,7.08,0.18
25.56,12.6,53.78,7.83,0.23
26.41,13.52,52.53,7.2,0.34
25.97,13.66,53.14,7.07,0.15
27.05,13.49,51.98,7.13,0.35
26.13,13.56,52.89,7.24,0.18
26.54,13.18,52.72,7.38,0.19
25.6,13.88,53.28,7.15,0.08
26.5,13.42,52.69,7.17,0.22
26.7,13.22,52.68,7.16,0.23
27.58,13.2,52.02,7.04,0.17
25.68,13.32,53.71,7.03,0.26
26.01,13.18,53.36,7.32,0.13
26.83,13.24,52.45,7.24,0.24
26.38,13.93,52.11,7.13,0.46
27.03,13.14,52.61,6.93,0.28
25.71,13.57,52.85,7.68,0.19
26.03,13.31,53.45,7.12,0.1
26.24,13.44,52.84,7.3,0.18
25.8,13.16,52.82,8.02,0.2
26.23,13.45,53.05,7.12,0.15
27.32,12.78,52.65,7.12,0.13
28.31,13.03,51.66,6.89,0.11
26.63,12.7,53.34,7.19,0.14
26.14,13.27,52.89,7.58,0.12
26.14,12.96,53.29,7.31,0.29
26.37,13.15,52.9,7.45,0.14
26.17,13.41,52.83,7.21,0.38
26.94,13.22,52.64,6.99,0.21
27.02,13.08,52.94,6.76,0.21
26.86,13.2,52.7,7.12,0.11
26.47,13.4,53.24,6.85,0.04
27.2,13.05,52.16,7.28,0.32
26.77,12.52,53.23,7.01,0.47
26.72,13.6,52.3,7.2,0.17
26.03,13.0,53.53,7.34,0.1
27.44,13.48,51.81,7.18,0.08
26.24,13.24,52.49,7.73,0.31
26.35,14.08,52.52,6.93,0.12
26.99,12.77,53.13,6.92,0.19
26.63,13.35,52.35,7.41,0.25
26.73,13.7,52.3,7.08,0.2
26.5,13.0,52.77,7.52,0.22
27.33,12.93,52.55,6.96,0.22
26.02,13.85,52.93,7.04,0.16
26.33,13.69,52.21,7.51,0.25
26.22,13.5,52.83,7.13,0.32
26.73,13.25,52.59,7.11,0.32
26.21,13.76,52.28,7.56,0.18
26.7,13.42,52.17,7.53,0.18
26.25,13.44,52.71,7.45,0.15
26.15,13.32,52.73,7.62,0.18
26.64,13.7,52.34,7.17,0.14
26.42,13.62,52.65,7.13,0.18
26.7,13.33,52.44,7.29,0.24
26.3,12.88,53.26,7.41,0.15
26.87,13.79,52.24,6.99,0.12
26.05,13.1,53.56,7.0,0.29
26.44,13.13,52.81,7.35,0.26
26.23,13.27,52.5,7.72,0.29
26.61,13.2,52.82,7.21,0.17
26.53,12.89,53.21,7.19,0.18
27.73,12.14,52.68,7.29,0.17
26.48,12.65,52.94,7.82,0.11
26.64,13.0,53.08,7.09,0.2
26.48,13.53,52.54,7.09,0.35
25.59,13.4,53.67,7.19,0.16
26.68,13.26,52.33,7.5,0.24
26.15,13.58,52.24,7.77,0.25
26.28,13.51,52.78,7.25,0.18
25.82,13.44,53.54,7.05,0.14
26.25,14.18,52.25,7.16,0.15
26.06,13.45,52.66,7.66,0.18
26.6,13.35,52.52,7.21,0.32
26.37,13.73,52.59,7.16,0.14
26.55,12.93,52.88,7.37,0.27
26.48,13.3,53.05,7.11,0.07
25.76,13.88,52.27,7.94,0.15
26.67,12.95,52.52,7.63,0.24
26.86,13.43,52.22,7.31,0.18
25.77,14.13,52.77,7.21,0.12
27.1,13.06,52.42,7.14,0.27
26.13,13.26,53.22,7.29,0.09
26.44,13.64,52.1,7.66,0.16
26.72,13.07,52.81,7.26,0.13
27.4,13.35,51.82,7.27,0.16
26.33,13.06,53.16,7.31,0.13
26.06,13.12,53.36,7.31,0.15
26.24,14.03,52.24,7.34,0.15
26.89,12.92,52.91,7.06,0.22
26.78,13.26,52.27,7.44,0.25
26.86,12.79,52.85,7.22,0.28
26.49,13.13,52.51,7.75,0.12
27.08,13.66,52.73,6.53,0.0
26.4,13.19,52.93,7.29,0.18
27.71,12.6,52.81,6.72,0.16
26.48,13.73,52.74,6.81,0.24
26.42,13.38,52.26,7.53,0.42
27.07,13.52,52.41,6.96,0.04
26.81,13.26,52.47,7.32,0.15
26.28,13.25,52.59,7.63,0.25
25.99,13.3,53.13,7.33,0.24
26.82,13.22,52.66,7.12,0.17
26.52,13.29,52.72,7.39,0.08
26.39,13.06,53.15,7.16,0.24
26.98,12.99,52.7,7.13,0.21
26.1,13.68,53.15,6.81,0.26
27.16,13.01,52.19,7.44,0.2
26.47,13.54,52.85,6.99,0.16
26.05,14.35,51.64,7.76,0.21
26.08,14.57,52.02,7.24,0.09
26.83,13.34,52.45,7.27,0.11
26.33,13.1,52.76,7.46,0.35
26.32,13.34,52.88,7.26,0.2
26.67,13.81,52.12,7.2,0.21
26.73,13.13,52.5,7.48,0.16
26.97,13.08,52.43,7.23,0.29
26.2,13.61,52.61,7.39,0.19
26.5,13.37,52.49,7.42,0.22
26.98,12.8,52.82,7.34,0.06
25.88,13.25,53.13,7.61,0.14
26.61,13.18,52.85,7.17,0.19
26.45,12.99,52.99,7.28,0.29
26.41,13.6,51.89,7.92,0.18
26.64,13.47,52.86,6.89,0.14
26.98,13.14,52.85,6.94,0.1
26.04,12.98,53.53,7.22,0.24
26.43,13.61,52.71,7.15,0.09
26.82,13.28,52.81,6.91,0.18
26.02,13.02,53.98,6.86,0.12
26.44,13.31,53.0,7.14,0.11
27.06,13.69,52.7,6.56,0.0
25.77,11.97,54.41,7.77,0.08
26.8,13.3,52.47,7.21,0.22
26.55,13.2,53.28,6.64,0.33
26.18,13.01,52.82,7.77,0.22
26.11,14.74,52.18,6.83,0.15
25.82,13.5,53.62,6.93,0.13
27.56,12.89,52.35,7.02,0.17
26.68,13.7,52.44,6.96,0.22
26.26,12.63,53.27,7.65,0.2
27.52,12.83,52.76,6.73,0.16
26.79,12.37,53.01,6.99,0.83
27.2,12.86,52.65,7.12,0.18
26.98,12.77,52.51,7.69,0.05
26.94,12.99,52.77,7.11,0.2
25.88,13.35,53.38,7.23,0.16
26.59,13.56,52.55,7.14,0.16
26.21,13.54,52.34,7.65,0.25
26.27,13.52,52.92,7.02,0.27
26.34,12.5,53.37,7.56,0.23
26.97,13.34,52.22,7.32,0.15
27.36,13.46,51.88,7.11,0.19
26.98,12.81,52.73,7.36,0.12
26.43,14.09,52.3,7.05,0.13
26.57,13.0,52.92,7.39,0.12
26.62,13.0,53.25,7.01,0.12
26.51,13.38,52.3,7.44,0.37
26.33,13.29,52.81,7.33,0.24
26.73,12.97,52.84,7.23,0.23
26.97,12.96,52.99,6.97,0.11
26.65,13.62,52.4,7.22,0.11
26.66,13.26,52.42,7.38,0.28
27.38,13.15,52.37,6.99,0.11
26.35,13.14,52.79,7.49,0.23
26.67,13.25,52.38,7.58,0.13
26.88,13.27,52.44,7.3,0.11
25.91,13.29,53.27,7.18,0.35
26.29,13.95,52.45,7.09,0.22
26.54,13.79,52.32,7.12,0.23
26.52,13.22,52.76,7.33,0.16
26.57,13.35,52.49,7.43,0.17
27.19,12.77,52.68,7.02,0.35
26.4,13.14,53.0,7.28,0.17
26.76,13.38,52.11,7.51,0.24
26.6,13.05,52.65,7.46,0.23
26.4,12.84,53.18,7.3,0.28
26.08,12.91,53.87,7.05,0.09
27.09,13.26,52.56,6.94,0.15
26.77,13.23,52.51,7.36,0.12
26.7,13.18,52.78,7.09,0.26
26.51,12.66,53.03,7.63,0.17
26.97,13.29,52.14,7.37,0.23
27.28,12.79,52.42,7.2,0.31
26.45,12.89,53.05,7.53,0.09
27.1,12.98,52.19,7.69,0.04
26.55,13.03,52.93,7.22,0.27
26.22,13.4,52.8,7.49,0.09
26.66,13.15,52.92,6.94,0.32
27.93,12.58,52.52,6.89,0.08
26.78,13.14,52.86,6.93,0.29
26.56,13.68,52.58,7.05,0.13
26.7,13.35,52.48,7.2,0.28
26.41,13.86,52.48,7.14,0.11
26.84,13.38,52.03,7.53,0.21
25.6,13.58,53.25,7.41,0.16
25.9,13.82,52.64,7.53,0.11
26.89,13.76,51.89,7.19,0.26
26.69,13.41,52.97,6.75,0.18
26.25,13.16,52.5,7.95,0.14
26.96,13.6,52.0,7.3,0.14
27.11,12.98,52.45,7.24,0.23
26.25,13.42,52.37,7.7,0.26
26.18,12.37,53.63,7.69,0.13
26.36,13.18,53.04,7.15,0.27
26.16,13.8,52.81,7.09,0.14
26.33,13.32,53.01,7.22,0.13
26.19,13.13,53.41,7.08,0.19
26.9,13.26,52.58,7.09,0.17
26.15,13.53,51.5,8.16,0.66
27.1,12.71,52.87,7.12,0.19
26.91,13.09,52.63,7.25,0.12
26.47,13.17,52.22,8.01,0.12
26.6,13.32,52.5,7.37,0.21
27.32,13.26,52.28,6.88,0.27
26.67,13.48,52.73,6.96,0.16
26.67,12.83,52.94,7.35,0.2
26.58,13.45,52.34,7.42,0.21
27.11,12.15,54.08,6.4,0.24
25.38,12.69,53.6,8.22,0.11
26.4,14.11,52.16,7.2,0.13
26.51,13.45,52.79,7.06,0.19
27.12,13.01,52.48,7.2,0.19
26.07,13.74,51.87,7.74,0.58
26.6,12.98,52.83,7.38,0.22
26.1,12.94,53.79,7.01,0.16
26.27,13.79,52.22,7.42,0.29
26.66,13.66,52.35,7.09,0.24
26.88,13.19,52.46,7.29,0.17
26.71,13.25,52.54,7.26,0.24
27.65,13.28,51.92,6.99,0.17
26.46,13.63,52.68,7.07,0.16
26.83,12.74,53.12,7.03,0.28
26.52,13.21,52.61,7.36,0.29
26.18,13.43,52.76,7.38,0.24
25.64,14.07,52.6,7.47,0.22
26.56,13.03,53.05,7.19,0.17
26.88,13.32,52.04,7.47,0.29
26.13,13.28,52.67,7.77,0.16
26.65,13.55,52.73,6.83,0.24
25.72,14.03,52.45,7.52,0.28
26.97,13.14,52.77,6.89,0.23
25.97,13.41,53.21,7.07,0.34
27.15,12.81,52.51,7.4,0.14
26.78,13.25,52.64,7.01,0.31
26.33,13.37,52.73,7.42,0.16
27.15,13.19,52.59,6.99,0.09
26.88,12.94,53.12,6.94,0.13
27.38,12.97,52.5,6.97,0.17
27.13,13.18,52.8,6.76,0.13
25.94,12.34,53.14,8.35,0.23
26.86,13.43,52.31,7.2,0.2
26.04,13.13,53.13,7.52,0.18
26.51,12.16,53.33,7.45,0.55
26.44,13.38,53.12,6.94,0.12
25.96,13.43,52.68,7.71,0.23
25.91,13.32,53.34,7.21,0.22
26.12,13.65,52.42,7.61,0.2
25.98,13.26,53.12,7.42,0.22
26.19,13.35,52.97,7.31,0.18
27.07,11.23,54.14,6.93,0.63
26.85,13.31,52.06,7.48,0.3
26.58,13.59,52.57,7.11,0.14
26.17,12.1,53.91,7.65,0.17
25.92,13.76,52.42,7.63,0.26
26.66,13.3,52.7,7.15,0.19
26.65,12.94,53.46,6.84,0.11
26.06,13.73,53.03,6.93,0.26
26.94,13.02,52.97,6.9,0.18
27.14,12.92,52.46,7.31,0.17
27.03,12.71,53.06,6.99,0.2
27.16,12.7,52.17,7.33,0.65
27.23,12.24,53.57,6.85,0.12
26.1,13.07,53.41,7.14,0.29
26.37,13.21,53.04,7.22,0.16
26.83,13.23,52.58,7.1,0.26
27.0,13.04,52.5,7.33,0.13
27.14,13.34,52.18,7.15,0.19
26.87,12.89,52.83,7.21,0.2
26.38,13.06,52.79,7.48,0.29
26.35,13.33,52.81,7.34,0.17
27.05,12.76,52.84,7.17,0.18
26.62,13.15,52.98,7.08,0.18
26.59,12.58,53.21,7.3,0.32
26.55,12.88,53.32,7.12,0.12
26.68,13.28,52.24,7.65,0.15
27.24,13.42,52.08,7.09,0.18
25.96,13.36,52.9,7.6,0.18
26.28,12.69,53.55,7.29,0.19
25.93,13.99,52.37,7.54,0.17
25.82,13.73,53.29,6.96,0.2
26.27,13.23,53.44,6.94,0.12
26.85,13.07,52.55,7.32,0.21
26.15,13.64,52.74,7.18,0.3
26.73,12.82,52.92,7.41,0.11
26.29,13.24,53.61,6.68,0.19
26.51,13.07,52.7,7.51,0.2
26.62,13.04,52.91,7.3,0.13
26.34,13.31,52.78,7.28,0.28
26.2,12.85,53.19,7.55,0.21
26.36,13.43,52.53,7.46,0.21
26.54,12.73,53.18,7.3,0.23
26.53,14.24,51.72,7.37,0.13
26.59,13.37,52.87,7.05,0.12
26.85,13.98,51.61,7.42,0.14
26.9,13.72,52.11,7.1,0.17
27.33,13.65,51.91,7.01,0.1
26.34,13.15,52.61,7.69,0.21
26.09,13.66,52.43,7.43,0.39
26.87,12.98,53.03,6.96,0.17
25.51,13.54,53.27,7.61,0.07
25.57,13.44,53.37,7.25,0.37
26.29,13.18,53.39,7.07,0.08
26.26,13.04,53.47,7.0,0.24
26.64,13.63,52.25,7.24,0.23
26.18,13.2,52.58,7.91,0.14
26.29,13.93,52.52,7.14,0.1
26.53,13.96,52.01,7.39,0.1
25.99,13.22,53.21,7.45,0.13
26.66,13.3,52.29,7.68,0.07
26.52,13.76,52.46,7.12,0.14
25.87,13.69,52.79,7.5,0.15
25.78,13.6,52.52,8.05,0.06
26.64,13.32,52.73,7.19,0.12
26.43,13.96,52.64,6.78,0.19
26.05,13.73,52.61,7.41,0.21
26.29,12.74,53.74,7.1,0.13
27.13,13.16,52.34,7.2,0.17
26.84,13.45,52.54,6.95,0.23
26.04,13.08,53.41,7.36,0.12
26.85,14.14,51.48,7.35,0.19
26.45,13.67,52.47,7.28,0.13
25.59,13.58,52.75,7.85,0.22
26.22,13.27,52.76,7.3,0.46
25.98,13.53,53.03,7.34,0.11
26.72,13.93,51.99,7.08,0.29
25.85,13.28,53.75,6.97,0.15
25.9,12.91,53.66,7.28,0.25
26.64,13.07,52.81,7.29,0.19
26.26,13.3,52.62,7.67,0.15
26.88,13.11,53.18,6.67,0.15
25.92,12.96,53.74,7.24,0.14
26.3,13.25,52.94,7.17,0.34
26.67,12.37,53.46,7.31,0.19
27.3,12.87,52.43,7.24,0.16
26.81,13.24,52.76,6.91,0.28
25.76,12.69,53.85,7.58,0.13
26.44,14.23,51.97,7.25,0.11
25.29,12.99,54.25,7.01,0.46
26.82,13.41,52.73,6.85,0.19
26.37,13.38,52.73,7.35,0.17
26.61,13.23,52.59,7.26,0.31
26.3,13.41,52.84,7.39,0.06
26.73,13.84,51.96,7.26,0.22
27.23,14.35,50.87,6.99,0.55
26.97,13.08,52.7,6.99,0.26
27.0,12.96,52.57,7.21,0.25
25.49,13.68,53.4,7.2,0.23
26.68,13.37,52.91,6.94,0.1
26.58,13.47,52.5,7.25,0.19
26.29,13.61,52.36,7.59,0.14
27.18,13.26,52.03,7.28,0.25
26.89,13.23,52.65,7.16,0.08
26.1,13.34,52.77,7.64,0.14
25.51,12.81,52.65,8.98,0.05
26.41,13.09,53.32,6.87,0.31
26.62,13.73,52.18,7.33,0.14
27.34,13.02,52.46,6.97,0.22
27.06,14.74,51.3,6.61,0.29
27.04,13.41,52.33,7.19,0.02
26.94,12.72,52.8,7.39,0.15
26.78,13.4,52.24,7.33,0.25
26.42,13.37,52.49,7.46,0.26
26.9,12.98,52.65,7.28,0.18
25.92,14.54,51.33,7.81,0.4
25.9,13.73,53.21,6.81,0.35
26.13,13.56,52.35,7.72,0.24
27.16,12.96,52.54,7.11,0.22
26.23,13.07,52.99,7.59,0.12
26.53,13.24,52.66,7.33,0.24
25.27,13.47,54.28,6.86,0.12
26.43,13.5,52.79,7.14,0.14
25.96,13.41,52.89,7.68,0.06
26.42,12.99,53.05,7.4,0.13
26.29,13.44,52.62,7.34,0.31
26.19,13.87,52.85,7.03,0.06
26.09,13.87,52.72,7.21,0.11
25.92,13.4,53.01,7.54,0.14
26.03,13.18,53.18,7.49,0.12
25.94,13.47,52.59,7.9,0.1
26.3,13.25,53.15,7.09,0.23
26.95,13.26,52.53,7.08,0.18
26.06,13.16,53.05,7.49,0.25
26.33,13.49,52.45,7.64,0.08
25.83,13.49,53.23,7.24,0.21
26.62,13.71,52.1,7.23,0.34
26.28,13.33,52.96,7.1,0.33
26.61,13.41,52.63,7.11,0.24
26.17,13.93,51.96,7.47,0.47
26.93,13.19,52.59,7.08,0.22
26.64,13.8,51.99,7.09,0.48
26.49,13.25,52.92,7.23,0.11
26.76,13.34,52.41,7.24,0.24
25.88,14.83,52.02,7.2,0.08
26.68,13.22,52.74,7.13,0.22
26.24,13.93,52.3,7.41,0.12
26.28,13.81,52.06,7.39,0.46
25.95,13.58,52.39,7.81,0.27
26.64,13.64,52.4,7.19,0.13
26.69,12.97,52.73,7.29,0.31
26.53,13.5,52.55,7.24,0.19
26.55,13.41,52.6,7.21,0.23
26.38,14.21,51.46,7.57,0.38
25.71,13.84,52.78,7.5,0.16
26.7,13.03,52.81,7.27,0.19
26.91,13.05,53.03,6.86,0.15
27.02,13.37,52.23,7.12,0.26
25.93,13.41,53.04,7.49,0.13
27.08,13.31,52.18,7.22,0.21
26.84,13.02,52.79,7.19,0.16
26.9,13.5,52.04,7.44,0.13
25.5,12.8,53.92,7.58,0.21
26.35,13.12,52.97,7.41,0.16
26.1,12.69,53.46,7.52,0.22
25.68,13.21,53.78,7.29,0.05
27.25,12.86,52.8,6.84,0.25
26.71,13.32,52.75,7.02,0.21
26.85,13.24,52.5,7.19,0.22
26.21,13.13,53.05,7.44,0.18
26.54,13.35,52.61,7.28,0.22
26.72,13.49,52.51,7.13,0.15
26.6,13.45,52.6,7.25,0.09
26.85,12.69,52.86,7.47,0.13
26.67,13.21,52.74,7.11,0.26
26.43,13.69,52.05,7.51,0.33
26.67,13.01,52.82,7.25,0.26
26.96,13.42,52.35,7.09,0.16
27.19,12.86,52.66,7.12,0.16
26.97,13.58,52.46,6.86,0.13
26.14,13.86,52.29,7.64,0.07
25.75,12.46,53.32,8.32,0.16
27.14,13.75,52.16,6.91,0.04
26.17,13.3,52.88,7.3,0.36
26.62,12.96,52.85,7.32,0.24
26.47,13.36,52.66,7.21,0.31
27.06,13.52,51.71,7.6,0.11
26.35,13.5,52.69,7.35,0.12
26.72,13.0,52.91,7.17,0.2
27.21,13.2,52.23,7.21,0.16
26.74,13.43,52.69,6.93,0.21
27.43,12.7,52.63,7.09,0.16
26.1,13.47,52.34,7.86,0.23
27.25,13.45,52.01,7.2,0.1
27.23,13.15,52.56,6.74,0.31
26.32,13.36,52.73,7.39,0.2
27.02,13.14,52.35,7.31,0.19
26.67,12.99,52.75,7.4,0.19
27.43,13.07,52.51,6.81,0.19
26.39,13.51,52.66,7.19,0.25
26.71,13.14,52.54,7.25,0.35
26.72,13.32,52.24,7.52,0.19
27.26,11.85,54.02,6.63,0.25
27.01,13.33,52.23,7.31,0.12
28.03,12.87,52.18,6.77,0.16
26.67,13.28,53.11,6.87,0.06
26.09,13.57,52.83,7.34,0.16
25.72,13.52,53.41,7.13,0.22
25.81,13.97,52.57,7.42,0.23
26.96,12.95,52.82,7.08,0.18
26.11,13.01,53.39,7.4,0.08
26.87,13.13,52.76,7.11,0.13
25.75,12.26,53.35,8.43,0.2
27.22,13.33,52.38,6.93,0.14
26.1,13.12,53.41,7.17,0.2
26.89,12.87,53.08,6.93,0.22
26.58,13.37,53.22,6.63,0.2
26.3,13.37,52.75,7.2,0.38
27.34,12.97,52.53,6.92,0.24
25.87,13.81,52.33,7.84,0.14
26.86,12.98,52.54,7.43,0.18
25.89,13.85,52.33,7.62,0.3
27.4,13.4,52.01,7.06,0.14
25.91,13.7,52.9,7.05,0.44
25.65,13.68,53.51,7.05,0.11
26.01,13.4,53.55,6.91,0.14
26.89,12.91,52.99,7.07,0.15
26.7,13.06,52.83,7.18,0.24
26.51,13.34,52.69,7.24,0.22
26.22,13.15,53.56,6.86,0.21
26.37,13.49,52.49,7.44,0.22
27.02,13.2,52.31,7.12,0.34
26.29,13.14,53.3,7.12,0.15
25.44,13.63,53.16,7.64,0.14
25.86,13.55,53.32,7.04,0.23
25.84,13.58,53.02,7.3,0.26
26.6,13.12,52.87,7.28,0.13
26.3,13.51,52.44,7.44,0.31
26.76,13.32,52.56,7.17,0.19
26.17,13.4,52.97,7.35,0.11
26.85,13.32,52.63,7.03,0.17
26.67,13.58,52.26,7.26,0.22
26.88,13.1,52.78,6.98,0.26
26.81,13.67,52.07,7.31,0.14
26.53,13.25,52.52,7.5,0.19
27.24,12.85,52.33,7.36,0.22
25.7,12.09,53.82,8.2,0.19
26.06,14.1,52.2,7.47,0.17
26.66,13.15,52.71,7.2,0.28
26.22,13.8,52.8,7.03,0.15
25.46,14.21,52.73,7.47,0.13
26.1,13.05,52.94,7.74,0.18
26.42,13.67,52.69,7.1,0.12
26.58,13.25,52.78,7.24,0.15
25.99,13.37,53.29,7.19,0.16
26.33,13.39,52.79,7.33,0.16
25.91,13.87,52.97,7.18,0.07
26.5,13.17,52.78,7.31,0.23
26.26,13.32,52.67,7.57,0.18
26.28,13.42,52.51,7.5,0.3
26.16,13.14,53.35,7.09,0.26
26.29,14.4,52.33,6.69,0.29
26.85,12.75,52.77,7.32,0.31
26.32,13.64,52.67,7.06,0.31
25.3,13.14,53.25,8.06,0.25
25.83,13.61,52.3,7.8,0.46
26.47,13.31,52.74,7.32,0.16
26.37,13.5,52.7,7.16,0.27
27.51,12.56,53.52,6.2,0.22
26.21,13.17,53.27,7.15,0.21
26.14,13.33,53.01,7.31,0.2
27.34,12.42,53.56,6.6,0.09
26.17,13.28,53.04,7.21,0.3
26.56,13.5,52.69,7.18,0.07
27.21,12.95,52.3,7.45,0.08
26.85,13.32,52.59,6.98,0.27
26.69,13.56,52.58,7.08,0.09
25.19,13.73,53.6,7.29,0.19
26.36,13.61,52.8,7.15,0.08
26.62,13.01,52.98,7.19,0.2
26.64,13.82,52.56,6.83,0.15
26.05,14.03,51.35,7.86,0.71
26.16,13.24,52.83,7.44,0.34
26.49,13.14,52.66,7.4,0.31
26.69,13.14,52.28,7.69,0.19
26.22,13.33,52.87,7.4,0.18
26.09,13.57,52.71,7.28,0.34
26.54,13.38,52.79,6.96,0.32
26.61,13.56,52.17,7.5,0.16
26.87,13.11,52.46,7.4,0.15
26.06,13.41,52.59,7.61,0.33
26.48,13.22,52.81,7.23,0.26
26.39,12.96,52.99,7.46,0.2
