BTC_T,BTC_H,BTC_S,BTC_D
3733,2091,3424,309
2823,1542,2565,258
5428,2980,4945,483
4539,2518,4157,382
4164,2280,3786,378
3715,2063,3404,311
5492,2983,4990,502
11681,6372,10614,1067
3062,1706,2809,253
6562,3587,5992,570
6243,3392,5643,600
3194,1751,2904,290
15568,8509,14146,1422
7193,4018,6573,620
7504,4166,6854,650
1780,973,1617,163
1703,950,1563,140
4968,2760,4558,410
3874,2149,3543,331
4325,2367,3930,395
13752,7542,12567,1185
11167,6099,10158,1009
5781,3169,5268,513
9237,5063,8428,809
5691,3183,5229,462
8833,4866,8068,765
11045,6008,10113,932
15631,8524,14219,1412
2628,1443,2388,240
14154,7602,12778,1376
7081,3844,6422,659
8006,4384,7282,724
1409,763,1279,130
1933,1057,1759,174
6977,3842,6364,613
4764,2649,4355,409
3766,2054,3422,344
2204,1178,2001,203
6670,3722,6116,554
6050,3348,5535,515
4654,2578,4266,388
5026,2788,4589,437
3487,1894,3171,316
23413,12799,21289,2124
22160,12096,20219,1941
1866,1029,1708,158
7906,4268,7155,751
7468,4139,6834,634
2790,1533,2533,257
13440,7529,12320,1120
1802,970,1629,173
4227,2367,3881,346
10064,5452,9084,980
7730,4277,7057,673
21082,11627,19280,1802
10083,5443,9148,935
2508,1328,2269,239
9396,5133,8583,813
4184,2309,3823,361
3189,1774,2918,271
2586,1434,2365,221
6252,3396,5677,575
4159,2318,3811,348
9851,5412,9045,806
5732,3195,5265,467
9811,5548,9021,790
3357,1858,3078,279
2377,1292,2152,225
5134,2804,4665,469
8590,4731,7865,725
7054,3837,6395,659
17018,9368,15529,1489
8742,4746,7927,815
5370,2946,4894,476
11583,6331,10538,1045
6509,3538,5912,597
4299,2377,3931,368
6027,3283,5479,548
19491,10724,17783,1708
5429,3021,4989,440
14206,7787,12937,1269
7425,4009,6746,679
4308,2384,3935,373
8527,4744,7866,661
5580,3121,5121,459
6513,3522,5891,622
10077,5556,9200,877
7241,3973,6607,634
9534,5336,8744,790
7671,4209,6981,690
1356,730,1236,120
6564,3616,5982,582
6587,3616,6003,584
12295,6628,11157,1138
9134,4940,8284,850
7500,4170,6863,637
15016,8034,13640,1376
4504,2490,4126,378
3412,1879,3117,295
16852,9253,15385,1467
4388,2423,4026,362
6955,3777,6329,626
8186,4389,7381,805
39278,21476,35776,3502
22769,12195,20691,2078
6663,3687,6099,564
5573,3088,5099,474
9517,5251,8683,834
2590,1431,2362,228
9631,5252,8764,867
2827,1551,2581,246
2614,1440,2386,228
12919,7066,11752,1167
5135,2878,4707,428
9430,5254,8654,776
3146,1721,2871,275
8902,4837,8083,819
6424,3548,5878,546
3063,1646,2769,294
4181,2320,3824,357
6097,3380,5582,515
9246,5095,8428,818
3997,2227,3662,335
13203,7261,12046,1157
4784,2647,4375,409
7237,3994,6610,627
6148,3370,5604,544
10511,5716,9545,966
14315,7860,13111,1204
11210,6219,10272,938
9465,5231,8646,819
5846,3231,5341,505
9037,4933,8247,790
2365,1276,2150,215
11139,6106,10137,1002
3110,1710,2833,277
5799,3186,5281,518
9445,5186,8616,829
8845,4857,8066,779
2731,1493,2496,235
5300,2910,4838,462
7215,3961,6583,632
23926,13090,21732,2194
6407,3461,5791,616
8078,4506,7408,670
9277,5068,8448,829
4720,2574,4292,428
3465,1939,3179,286
6249,3408,5685,564
1979,1088,1804,175
3695,2042,3375,320
6346,3449,5757,589
2164,1194,1970,194
5901,3286,5408,493
2980,1660,2731,249
4451,2466,4075,376
28464,15586,25973,2491
4571,2518,4169,402
6124,3333,5561,563
4392,2439,4010,382
5880,3222,5344,536
6421,3472,5816,605
19728,10857,17994,1734
2440,1350,2233,207
4572,2530,4169,403
6368,3458,5772,596
6609,3622,6019,590
4459,2466,4065,394
1631,877,1481,150
4080,2243,3709,371
8160,4541,7470,690
5283,2950,4839,444
7206,3988,6590,616
10408,5753,9532,876
9352,5077,8479,873
6855,3804,6267,588
3633,1953,3278,355
4470,2438,4063,407
3528,1930,3220,308
17569,9557,15937,1632
3417,1923,3128,289
5355,2991,4912,443
6665,3635,6066,599
1867,1034,1707,160
8719,4682,7859,860
8664,4829,7929,735
10508,5800,9603,905
3146,1724,2869,277
6900,3768,6262,638
4223,2338,3862,361
11470,6246,10466,1004
8964,4847,8123,841
16007,8825,14722,1285
2504,1386,2286,218
8400,4550,7666,734
7636,4203,6981,655
5985,3243,5418,567
5046,2790,4607,439
3673,2060,3375,298
5961,3330,5464,497
4815,2682,4414,401
12193,6672,11081,1112
3752,2071,3424,328
12607,6881,11479,1128
11116,6046,10077,1039
4553,2520,4156,397
3110,1698,2827,283
3328,1816,3025,303
12702,6825,11461,1241
7375,4061,6721,654
9023,4923,8207,816
3076,1690,2800,276
7010,3835,6374,636
6082,3293,5512,570
6177,3406,5657,520
3852,2138,3516,336
2638,1473,2421,217
5685,3166,5208,477
5257,2931,4819,438
5059,2817,4641,418
25801,14218,23610,2191
12245,6851,11216,1029
7375,4037,6710,665
6370,3609,5881,489
4958,2670,4458,500
6243,3414,5683,560
5560,3044,5056,504
7537,4176,6894,643
3521,1928,3209,312
2867,1574,2621,246
23765,12892,21577,2188
7245,4008,6616,629
18111,10071,16594,1517
967,518,884,83
7154,3893,6488,666
5464,3007,4976,488
2823,1558,2578,245
9410,5151,8576,834
4098,2287,3758,340
14290,7786,13004,1286
12845,7101,11732,1113
5648,3013,5087,561
2855,1575,2607,248
14186,7681,12850,1336
6628,3608,6013,615
30942,16959,28176,2766
15402,8322,13952,1450
1347,746,1231,116
5274,2927,4815,459
4278,2357,3904,374
8535,4639,7738,797
3483,1920,3182,301
4335,2351,3939,396
5880,3253,5373,507
13429,7241,12159,1270
4658,2517,4225,433
5292,2932,4835,457
9956,5418,9052,904
8947,4874,8127,820
8907,4893,8122,785
15914,8790,14525,1389
17917,9795,16385,1532
8394,4647,7662,732
2294,1244,2082,212
48277,26404,44203,4074
9662,5280,8801,861
9630,5308,8793,837
596,317,541,55
2566,1395,2332,234
7791,4307,7117,674
2596,1414,2367,229
3714,2047,3404,310
5209,2893,4769,440
49413,27079,45192,4221
6147,3365,5600,547
2849,1571,2595,254
15114,8327,13793,1321
12239,6658,11124,1115
3658,2040,3350,308
19058,10308,17396,1662
6003,3274,5464,539
13466,7372,12297,1169
6729,3688,6126,603
16585,9050,15046,1539
2083,1129,1897,186
3409,1859,3109,300
5401,2984,4925,476
11624,6328,10584,1040
7776,4218,7078,698
2267,1230,2062,205
12894,7092,11772,1122
7594,4146,6905,689
3531,1962,3229,302
6402,3457,5786,616
3653,2018,3341,312
10223,5550,9287,936
2935,1601,2663,272
5239,2844,4759,480
5284,2896,4814,470
6365,3489,5800,565
9208,5049,8364,844
9207,5066,8375,832
6019,3351,5512,507
9407,5125,8551,856
3777,2093,3463,314
22502,12296,20424,2078
4642,2570,4247,395
2161,1168,1955,206
10214,5593,9291,923
3744,2051,3411,333
6275,3510,5755,520
8767,4830,8005,762
5461,3011,4987,474
28776,15846,26356,2420
16205,8839,14815,1390
3789,2093,3465,324
18038,9913,16427,1611
11428,6300,10436,992
3340,1866,3065,275
12506,6813,11374,1132
3102,1701,2828,274
72249,39556,65757,6492
12150,6650,11097,1053
1874,1062,1727,147
4031,2191,3659,372
13631,7479,12414,1217
12802,7075,11710,1092
8666,4784,7920,746
5712,3116,5202,510
4575,2512,4173,402
43619,23904,39758,3861
5444,2912,4901,543
7099,3898,6467,632
6440,3577,5910,530
8477,4620,7717,760
1847,1033,1698,149
8512,4577,7743,769
6992,3851,6374,618
7209,3913,6538,671
2289,1227,2083,206
4352,2408,3979,373
6282,3396,5681,601
24605,13471,22476,2129
2370,1315,2167,203
2954,1603,2688,266
7069,3870,6427,642
5895,3274,5388,507
7658,4201,6971,687
3532,1930,3223,309
7328,4044,6688,640
5863,3162,5299,564
13762,7528,12520,1242
10116,5586,9253,863
3324,1856,3052,272
2452,1349,2235,217
8853,4816,8039,814
3285,1822,3012,273
3649,1990,3313,336
5772,3097,5211,561
6955,3801,6335,620
2956,1641,2705,251
4961,2705,4528,433
3314,1842,3039,275
8272,4547,7544,728
16467,8940,14909,1558
11327,6236,10341,986
2801,1522,2577,224
2489,1333,2266,223
4455,2475,4074,381
6382,3472,5786,596
2416,1347,2219,197
3356,1798,3027,329
6420,3520,5846,574
10758,5823,9755,1003
23721,12893,21525,2196
2855,1559,2593,262
3725,2078,3418,307
4468,2458,4082,386
61533,33864,56174,5359
9631,5296,8807,824
8444,4660,7713,731
6157,3384,5607,550
6613,3667,6035,578
9724,5290,8849,875
6381,3457,5790,591
7370,4061,6720,650
10245,5632,9342,903
1719,959,1578,141
5335,2879,4835,500
8554,4677,7810,744
4687,2528,4233,454
3735,2043,3393,342
14036,7601,12707,1329
10539,5745,9623,916
3745,2079,3425,320
5402,2933,4921,481
8466,4661,7730,736
13502,7395,12287,1215
3721,2059,3396,325
9749,5366,8886,863
4750,2589,4315,435
6186,3405,5648,538
10473,5789,9604,869
5751,3204,5287,464
2059,1098,1860,199
10085,5542,9201,884
6990,3876,6395,595
4657,2525,4264,393
6263,3480,5723,540
1784,971,1628,156
5617,3033,5083,534
2809,1559,2566,243
5021,2777,4597,424
3095,1713,2843,252
6921,3765,6273,648
11296,6203,10312,984
4798,2681,4398,400
2293,1300,2114,179
5449,3031,5002,447
5272,2816,4760,512
5001,2754,4564,437
2518,1420,2323,195
7197,4013,6607,590
2386,1332,2191,195
9014,4937,8206,808
33737,18522,30789,2948
19173,10497,17494,1679
5763,3210,5303,460
7366,4014,6700,666
3027,1632,2737,290
7941,4345,7211,730
6421,3556,5867,554
7263,4054,6654,609
3445,1882,3135,310
1794,1007,1652,142
5764,3175,5258,506
6713,3725,6143,570
4157,2312,3809,348
4690,2611,4293,397
5406,2926,4896,510
4025,2256,3691,334
4573,2520,4171,402
2779,1501,2519,260
5496,2986,4993,503
5302,2956,4855,447
2926,1621,2682,244
7670,4195,6978,692
6251,3426,5687,564
5640,3162,5182,458
3625,1984,3296,329
12526,6942,11477,1049
4712,2584,4286,426
3480,1919,3189,291
13261,7113,11931,1330
7746,4267,7058,688
6117,3399,5591,526
4516,2491,4123,393
3846,2142,3524,322
9451,5175,8614,837
5458,3051,5008,450
6783,3760,6213,570
3534,2033,3297,237
5132,2886,4729,403
6592,3630,6003,589
5021,2793,4604,417
6274,3401,5688,586
4672,2545,4247,425
7393,4078,6759,634
4950,2700,4499,451
3886,2116,3533,353
7567,4105,6854,713
7710,4299,7073,637
4985,2735,4533,452
5913,3257,5399,514
11652,6319,10583,1069
9368,5167,8551,817
4420,2471,4050,370
4190,2335,3833,357
16044,8644,14518,1526
4230,2327,3856,374
12815,6982,11671,1144
3831,2088,3486,345
8910,4862,8100,810
3351,1858,3064,287
2470,1351,2267,203
3954,2193,3624,330
4416,2425,4027,389
5272,2938,4838,434
86258,47369,78843,7415
2613,1450,2390,223
5897,3231,5354,543
4755,2579,4340,415
7005,3859,6403,602
6348,3520,5801,547
7149,3879,6505,644
5549,3011,5039,510
5862,3262,5376,486
5230,2864,4765,465
5046,2776,4596,450
15435,8492,14078,1357
5245,2860,4762,483
4678,2556,4264,414
4644,2557,4240,404
6890,3771,6263,627
1923,1045,1745,178
9079,4935,8285,794
7321,4092,6721,600
6676,3661,6082,594
3845,2121,3512,333
4535,2513,4147,388
8616,4738,7859,757
6405,3548,5862,543
5075,2758,4607,468
4162,2286,3802,360
3856,2094,3498,358
10679,5844,9752,927
12009,6558,10938,1071
8412,4576,7639,773
5109,2777,4643,466
3488,1922,3193,295
6568,3607,5988,580
8504,4596,7734,770
4945,2752,4532,413
4815,2655,4400,415
1663,918,1528,135
4250,2377,3891,359
5543,3074,5081,462
3268,1793,2978,290
15803,8611,14365,1438
3568,1961,3257,311
3686,2071,3390,296
2080,1119,1879,201
8176,4436,7414,762
5693,3144,5210,483
7522,4130,6857,665
7868,4302,7146,722
8391,4553,7610,781
8926,4896,8170,756
6446,3499,5855,591
8994,4956,8214,780
5810,3194,5295,515
3785,2074,3441,344
4726,2601,4322,404
2483,1357,2254,229
2628,1433,2398,230
9699,5300,8840,859
3004,1614,2715,289
2007,1101,1829,178
6181,3394,5631,550
10161,5646,9302,859
7412,4087,6764,648
3567,1933,3234,333
2585,1400,2352,233
7063,3822,6405,658
36644,20282,33484,3160
4559,2501,4150,409
1883,1046,1719,164
5312,2949,4855,457
2997,1625,2712,285
2493,1414,2306,187
10879,6077,9973,906
12271,6676,11129,1142
6021,3315,5488,533
4472,2516,4109,363
4868,2708,4460,408
10271,5578,9366,905
5786,3143,5243,543
10175,5488,9211,964
10964,5979,9982,982
1612,891,1477,135
7205,4002,6596,609
6382,3494,5829,553
5212,2869,4779,433
4949,2738,4530,419
8234,4565,7542,692
13544,7347,12271,1273
2243,1241,2044,199
13229,7099,11927,1302
7287,3980,6630,657
10651,5878,9713,938
13689,7425,12406,1283
26208,14279,23861,2347
6006,3298,5477,529
6265,3406,5688,577
14259,7751,13026,1233
12501,7022,11510,991
2653,1489,2447,206
6393,3496,5809,584
5814,3197,5305,509
11450,6187,10406,1044
5574,3017,5035,539
4427,2464,4051,376
3314,1805,3016,298
4563,2543,4188,375
9802,5442,8976,826
1632,879,1492,140
2906,1629,2672,234
7666,4220,6991,675
9252,4954,8328,924
6680,3627,6048,632
2628,1465,2406,222
6260,3427,5705,555
5206,2884,4763,443
6340,3487,5775,565
7962,4260,7158,804
4827,2666,4417,410
11642,6354,10612,1030
11862,6448,10778,1084
4646,2598,4263,383
8765,4828,7993,772
4512,2439,4086,426
7200,3974,6574,626
15171,8395,13877,1294
4947,2708,4499,448
4724,2581,4303,421
2615,1425,2381,234
2240,1234,2046,194
3969,2215,3650,319
1936,1048,1761,175
32959,18160,30125,2834
3964,2169,3606,358
4573,2568,4199,374
13496,7401,12348,1148
4690,2615,4297,393
4557,2479,4160,397
9683,5338,8835,848
4016,2207,3669,347
4525,2451,4095,430
12135,6610,11041,1094
5701,3119,5205,496
9790,5459,8975,815
7763,4302,7104,659
20615,11385,18847,1768
5069,2803,4635,434
5567,3089,5097,470
9838,5370,8950,888
13832,7672,12672,1160
5690,3114,5172,518
6401,3550,5844,557
3876,2136,3541,335
1476,817,1350,126
22253,12029,20297,1956
3710,2046,3388,322
4341,2391,3953,388
12940,7077,11799,1141
3777,2072,3440,337
1825,1008,1666,159
2116,1149,1910,206
6900,3736,6264,636
6877,3767,6265,612
4175,2319,3821,354
2608,1444,2384,224
5235,2880,4774,461
2477,1397,2283,194
13375,7316,12189,1186
6778,3696,6154,624
7949,4341,7234,715
4657,2553,4245,412
4723,2564,4290,433
4901,2672,4466,435
3609,1987,3298,311
11659,6431,10664,995
22862,12549,20882,1980
16083,8848,14699,1384
9677,5288,8823,854
5871,3213,5346,525
4808,2652,4389,419
5568,3113,5115,453
5142,2829,4690,452
4683,2515,4225,458
5628,3071,5114,514
2955,1650,2716,239
3234,1789,2959,275
2819,1559,2573,246
29001,15809,26491,2510
1741,952,1586,155
6795,3762,6211,584
4478,2420,4053,425
3436,1900,3133,303
2002,1100,1827,175
7590,4201,6925,665
4978,2759,4568,410
4727,2582,4329,398
2549,1387,2318,231
8793,4755,7979,814
1503,841,1386,117
6764,3740,6184,580
12723,6926,11608,1115
9125,5029,8337,788
2781,1538,2548,233
14758,7998,13376,1382
2868,1559,2601,267
5584,3128,5132,452
6214,3467,5702,512
8711,4758,7946,765
3996,2200,3654,342
9228,5067,8396,832
5954,3272,5436,518
2968,1643,2722,246
9236,5049,8392,844
12513,6782,11348,1165
3738,2035,3382,356
4966,2731,4522,444
989,548,905,84
8986,4875,8150,836
12925,7006,11703,1222
7997,4406,7301,696
4629,2594,4249,380
5939,3297,5435,504
7474,4132,6836,638
8025,4467,7348,677
6331,3464,5794,537
6596,3668,6042,554
3455,1862,3115,340
3475,1921,3172,303
17327,9456,15715,1612
16004,8756,14581,1423
10672,5896,9776,896
8116,4448,7405,711
5083,2777,4637,446
2140,1158,1940,200
3341,1839,3046,295
12958,7198,11848,1110
4492,2411,4050,442
6395,3464,5776,619
2709,1479,2472,237
5227,2869,4787,440
1936,1086,1788,148
10919,5895,9877,1042
6066,3342,5531,535
5110,2730,4607,503
4442,2372,3990,452
10082,5618,9243,839
5196,2838,4715,481
4305,2335,3910,395
23519,12663,21403,2116
4341,2421,3976,365
4842,2626,4393,449
6554,3568,5955,599
4162,2285,3798,364
6539,3639,6011,528
6737,3685,6136,601
7470,4092,6792,678
7923,4307,7186,737
23083,12576,21058,2025
13252,7200,12003,1249
16252,8689,14736,1516
15127,8236,13789,1338
8009,4434,7327,682
4807,2683,4407,400
7647,4208,6968,679
4912,2703,4489,423
3940,2230,3650,290
3869,2147,3539,330
2892,1571,2631,261
7767,4264,7081,686
2352,1309,2173,179
5747,3182,5246,501
6094,3419,5606,488
7505,4132,6833,672
3410,1928,3142,268
6196,3356,5582,614
20677,11403,18863,1814
7107,3944,6499,608
8839,4834,8046,793
6302,3457,5750,552
4336,2375,3944,392
2088,1111,1895,193
17854,9891,16351,1503
4535,2480,4121,414
4103,2292,3760,343
23254,12660,21127,2127
1075,614,998,77
5087,2828,4657,430
1732,973,1592,140
16455,8849,14862,1593
5107,2808,4652,455
9520,5146,8647,873
5267,2891,4809,458
7696,4227,7026,670
4374,2426,4000,374
9893,5440,9014,879
8615,4749,7858,757
10128,5539,9206,922
3612,1977,3284,328
7591,4206,6935,656
4830,2705,4431,399
5636,3103,5158,478
3438,1884,3138,300
6616,3579,6012,604
8995,4872,8144,851
4993,2803,4580,413
2339,1281,2117,222
2186,1236,2016,170
5642,3137,5180,462
10671,5914,9761,910
7407,4056,6744,663
4713,2536,4253,460
6699,3610,6119,580
5295,2873,4825,470
8997,4908,8165,832
4129,2238,3745,384
3437,1899,3144,293
10284,5720,9419,865
8355,4502,7549,806
5168,2831,4703,465
2889,1597,2646,243
5938,3199,5377,561
9301,5059,8447,854
38608,21142,35222,3386
7299,4083,6700,599
4647,2559,4231,416
12291,6741,11196,1095
1684,929,1534,150
8902,4799,8104,798
2549,1409,2334,215
4117,2273,3757,360
4421,2470,4055,366
2892,1614,2651,241
6250,3395,5676,574
8593,4627,7757,836
5958,3280,5447,511
8509,4702,7769,740
53664,29405,48987,4677
3814,2137,3503,311
3744,2062,3422,322
3412,1869,3094,318
6098,3410,5595,503
4059,2274,3723,336
7383,4008,6712,671
15678,8560,14314,1364
6181,3438,5669,512
4917,2711,4470,447
7391,4132,6799,592
4506,2479,4104,402
2206,1246,2038,168
14968,8193,13625,1343
9468,5196,8631,837
12704,6895,11520,1184
2501,1380,2285,216
3115,1688,2826,289
4279,2360,3916,363
4535,2499,4139,396
2944,1634,2697,247
4573,2506,4161,412
13635,7386,12336,1299
6464,3545,5898,566
2312,1299,2132,180
14987,8132,13621,1366
12844,6984,11660,1184
2134,1186,1958,176
7957,4328,7226,731
1342,739,1225,117
5733,3185,5256,477
1795,980,1651,144
8843,4858,8065,778
6725,3753,6131,594
14537,7970,13299,1238
8450,4638,7699,751
8599,4734,7844,755
1876,1026,1709,167
8984,4901,8193,791
6072,3386,5559,513
8410,4559,7637,773
2226,1261,2053,173
9816,5403,8962,854
1269,713,1171,98
4061,2245,3707,354
2748,1518,2512,236
6601,3705,6066,535
8503,4585,7728,775
4635,2469,4171,464
2289,1293,2107,182
3380,1841,3074,306
7118,3950,6510,608
1462,778,1322,140
5744,3176,5248,496
7008,3843,6374,634
2610,1430,2377,233
569,314,524,45
4352,2392,3973,379
4958,2711,4512,446
9487,5189,8640,847
3599,1987,3288,311
12910,7064,11776,1134
12350,6738,11229,1121
1132,593,1032,100
9595,5331,8797,798
3163,1707,2866,297
6166,3341,5582,584
6144,3415,5624,520
3359,1818,3042,317
5278,2894,4803,475
5937,3313,5448,489
5959,3198,5383,576
14291,7729,13023,1268
18103,9897,16457,1646
7919,4346,7215,704
2378,1322,2177,201
11851,6665,10891,960
5981,3343,5493,488
17410,9572,15910,1500
9411,5173,8598,813
6911,3828,6319,592
1937,1072,1764,173
9301,5114,8497,804
7181,3943,6544,637
9121,5008,8321,800
2008,1087,1823,185
4724,2649,4340,384
14733,8114,13504,1229
3496,1918,3181,315
18576,10057,16864,1712
6366,3466,5773,593
2125,1187,1951,174
12895,7090,11772,1123
61491,33917,56227,5264
2588,1463,2386,202
8370,4557,7631,739
3207,1731,2902,305
5978,3247,5446,532
3741,2056,3423,318
74109,40572,67427,6682
34597,18970,31603,2994
6246,3440,5705,541
8970,4882,8137,833
19130,10399,17459,1671
2342,1302,2147,195
3550,1976,3260,290
3508,1924,3201,307
12079,6612,10943,1136
5246,2900,4789,457
6343,3430,5738,605
2446,1362,2245,201
6765,3693,6142,623
6794,3648,6132,662
4780,2644,4370,410
4143,2259,3769,374
8786,4772,7971,815
12200,6654,11138,1062
4278,2395,3932,346
568,324,524,44
3996,2148,3605,391
3970,2192,3630,340
16407,8955,14966,1441
27147,14977,24805,2342
6873,3741,6224,649
7962,4464,7305,657
31564,17309,28834,2730
8501,4653,7752,749
5303,2847,4799,504
9173,5031,8356,817
4112,2281,3755,357
7814,4213,7068,746
2338,1288,2130,208
7460,4085,6799,661
12346,6856,11306,1040
3402,1876,3103,299
15669,8576,14309,1360
8315,4483,7547,768
9214,5041,8391,823
5615,3098,5125,490
24479,13443,22371,2108
3844,2110,3506,338
3493,1912,3175,318
7139,3953,6518,621
4037,2241,3701,336
2855,1558,2594,261
6534,3573,5932,602
2863,1560,2604,259
1724,963,1589,135
10473,5710,9521,952
1823,1001,1658,165
7531,4084,6820,711
23989,13323,21963,2026
1031,573,946,85
8346,4522,7597,749
3272,1833,3004,268
3892,2145,3551,341
2517,1378,2293,224
49718,27253,45524,4194
14951,8181,13623,1328
6610,3636,6046,564
8754,4783,7971,783
1860,1028,1703,157
3416,1902,3130,286
2860,1560,2598,262
10423,5674,9474,949
3845,2129,3521,324
7121,3868,6460,661
7319,4085,6695,624
10591,5748,9603,988
5525,3018,5024,501
41096,22555,37487,3609
3586,1976,3275,311
6024,3337,5500,524
10796,5982,9872,924
5191,2903,4763,428
5172,2848,4711,461
19206,10368,17387,1819
39264,21471,35764,3500
5378,2963,4913,465
9783,5354,8900,883
15164,8297,13803,1361
7579,4230,6959,620
4555,2493,4149,406
6600,3609,6006,594
5782,3160,5261,521
2668,1480,2444,224
6557,3638,6000,557
6116,3384,5588,528
4254,2353,3883,371
3597,1982,3285,312
6311,3377,5727,584
7535,4045,6823,712
8874,4868,8084,790
21173,11573,19383,1790
9264,5053,8406,858
10310,5693,9415,895
11951,6524,10903,1048
2663,1483,2436,227
7195,3903,6522,673
6234,3492,5713,521
4385,2375,3977,408
17124,9478,15773,1351
8903,4812,8063,840
15204,8384,13880,1324
2558,1410,2334,224
18026,9644,16227,1799
4600,2553,4207,393
6055,3319,5512,543
751,423,697,54
2493,1398,2295,198
8788,4758,7998,790
3583,1994,3273,310
3464,1859,3145,319
14569,7901,13236,1333
11142,6051,10111,1031
12161,6635,11104,1057
12224,6592,11043,1181
8106,4447,7383,723
3565,1965,3260,305
3009,1655,2740,269
1532,855,1400,132
4932,2736,4505,427
4179,2305,3825,354
9389,5130,8554,835
7257,3975,6608,649
4454,2476,4075,379
7400,4008,6696,704
2674,1469,2434,240
14432,7978,13204,1228
6336,3500,5801,535
7329,3964,6671,658
3932,2159,3585,347
9383,5202,8593,790
5748,3156,5235,513
41818,22922,38108,3710
2742,1498,2499,243
9074,4946,8224,850
3653,1991,3330,323
5765,3233,5298,467
27233,14961,24848,2385
13802,7665,12618,1184
2245,1217,2033,212
4177,2328,3826,351
7152,3944,6539,613
9287,5144,8515,772
3033,1603,2730,303
4401,2425,4022,379
10148,5463,9172,976
15524,8539,14165,1359
18026,9977,16507,1519
5776,3124,5238,538
5398,2997,4939,459
5134,2783,4656,478
3484,1893,3166,318
3233,1790,2955,278
8223,4593,7553,670
7286,3970,6612,674
2985,1659,2733,252
15546,8436,14151,1395
4550,2471,4125,425
5760,3167,5245,515
14076,7691,12815,1261
8010,4360,7295,715
8077,4455,7374,703
8554,4668,7761,793
2260,1246,2071,189
6904,3792,6299,605
5925,3226,5382,543
3917,2161,3562,355
19309,10549,17653,1656
6274,3463,5729,545
6263,3429,5708,555
5211,2857,4754,457
8622,4758,7875,747
5956,3319,5457,499
1048,592,967,81
7181,3868,6488,693
14205,7951,13028,1177
4468,2437,4060,408
9384,5178,8570,814
4694,2614,4304,390
10287,5657,9392,895
12344,6656,11221,1123
6466,3586,5915,551
12854,7145,11746,1108
7245,3929,6587,658
16226,8938,14828,1398
3199,1724,2908,291
6474,3562,5900,574
12765,7042,11692,1073
7984,4421,7312,672
6287,3528,5778,509
7049,3864,6418,631
6384,3555,5856,528
15267,8427,13916,1351
12875,7098,11763,1112
3646,1959,3288,358
4883,2664,4437,446
6405,3471,5810,595
2400,1303,2178,222
5451,2964,4944,507
5181,2864,4738,443
7139,3891,6488,651
2420,1310,2192,228
25714,14148,23619,2095
8935,4842,8090,845
4614,2530,4197,417
4892,2713,4482,410
2053,1114,1865,188
7247,3930,6576,671
15174,8310,13819,1355
44883,24906,41322,3561
6524,3674,6010,514
2364,1287,2138,226
15648,8438,14227,1421
4287,2359,3904,383
4995,2770,4568,427
5240,2903,4795,445
7598,4165,6926,672
4794,2669,4390,404
2607,1437,2373,234
15591,8610,14269,1322
7474,4142,6829,645
20680,11333,18837,1843
14988,8241,13733,1255
5975,3283,5449,526
10283,5569,9306,977
3053,1657,2762,291
3742,2068,3416,326
9929,5390,9023,906
9124,4980,8331,793
5249,2913,4801,448
7413,4100,6771,642
5530,3003,5006,524
8651,4776,7911,740
3779,2076,3452,327
3037,1675,2772,265
6568,3564,5967,601
2584,1425,2351,233
5598,3055,5090,508
8112,4463,7404,708
4458,2455,4074,384
6087,3324,5540,547
5351,2855,4819,532
9469,5070,8530,939
15752,8585,14298,1454
11601,6366,10561,1040
6114,3358,5585,529
4684,2567,4260,424
2811,1550,2563,248
6633,3630,6054,579
6367,3440,5796,571
4050,2215,3692,358
7134,3890,6494,640
5345,2967,4887,458
3203,1771,2935,268
7470,4047,6829,641
7407,4067,6761,646
15017,8183,13638,1379
8399,4639,7662,737
2510,1413,2304,206
5591,3046,5075,516
10077,5521,9179,898
5917,3222,5390,527
2355,1294,2147,208
2306,1277,2103,203
8201,4655,7578,623
6694,3675,6105,589
62391,33483,56343,6048
25018,13595,22772,2246
11252,6147,10249,1003
9481,5192,8668,813
9297,5130,8481,816
5100,2831,4659,441
19320,10367,17437,1883
4232,2346,3864,368
22307,12246,20346,1961
5170,2887,4733,437
13040,7214,11927,1113
4619,2540,4210,409
4851,2691,4435,416
7267,3998,6621,646
4162,2240,3759,403
8161,4570,7488,673
3807,2120,3490,317
12249,6704,11158,1091
2539,1400,2321,218
21696,11811,19750,1946
37244,20389,33986,3258
8763,4851,8019,744
6025,3224,5448,577
3540,1963,3239,301
16349,8927,14943,1406
4008,2235,3672,336
10029,5549,9182,847
5036,2777,4590,446
6735,3747,6168,567
6403,3469,5810,593
5678,3096,5162,516
3826,2108,3495,331
7878,4360,7199,679
2494,1395,2291,203
4030,2256,3697,333
18877,10346,17230,1647
2439,1337,2218,221
2847,1547,2591,256
3156,1726,2870,286
5036,2790,4604,432
5579,3023,5063,516
4805,2651,4380,425
3228,1763,2937,291
11992,6550,10966,1026
4044,2213,3688,356
12032,6598,10954,1078
3821,2052,3451,370
4161,2315,3812,349
4630,2495,4187,443
4609,2583,4236,373
6248,3468,5721,527
6312,3489,5757,555
6173,3377,5604,569
1759,969,1610,149
4086,2236,3709,377
2570,1424,2345,225
2559,1430,2344,215
7384,4078,6763,621
3263,1804,2981,282
3864,2123,3523,341
51316,27710,46817,4499
5489,2952,4990,499
12165,6725,11086,1079
16810,9223,15316,1494
